raw_series,selection_class,registry_tcode,embedded_tcodes_seen,n_vintages_checked,n_vintages_hard_fail,n_vintages_with_flags,min_transformed_n_valid,median_transformed_n_valid,min_transformed_observed_fraction,median_transformed_observed_fraction,min_transformed_std,median_transformed_std,min_transformed_n_unique,n_zero_variance_vintages,n_near_zero_variance_vintages,n_vintages_with_nonpositive_log_input,n_vintages_with_zero_ratio_input,total_unexpected_transform_missing,total_unexpected_transform_value,total_inf_after_transform,n_vintages_short_pre_evaluation_history,stage2_hard_fail,stage2_status,hard_failure_reasons,stage2_flags,rank_low_min_transformed_n_valid,rank_low_min_transformed_observed_fraction,rank_low_min_transformed_std
AAA,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.2168450415,0.2197820892,187,0,0,0,0,0,0,0,0,False,pass,,,43,89,82
AAAFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,1.881726028,1.949712441,408,0,0,0,0,0,0,0,0,False,pass,,,98,106,111
AMDMNOx,reviewed_stable_keep,5,5,198,0,0,391,708.5,0.4955640051,0.99856836,0.03527691064,0.0381076596,391,0,0,0,0,0,0,0,0,False,pass,,,2,2,68
AMDMUOx,reviewed_stable_keep,5,5,198,0,0,392,708.5,0.4968314322,0.99856836,0.009515250147,0.01061844926,392,0,0,0,0,0,0,0,0,False,pass,,,3,3,46
AWHMAN,ordinary_stable,1,1,198,0,0,612,710.5,0.9987515605,1,0.6404615136,0.7205794223,34,0,0,0,0,0,0,0,0,False,pass,,,98,105,103
AWOTMAN,ordinary_stable,2,2,198,0,0,611,709.5,0.9975031211,0.9985885667,0.1354227636,0.1391022321,27,0,0,0,0,0,0,0,0,False,pass,,,43,75,79
BAA,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.2102348265,0.2139478146,198,0,0,0,0,0,0,0,0,False,pass,,,43,89,81
BAAFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,1.983441947,2.058014332,405,0,0,0,0,0,0,0,0,False,pass,,,98,106,112
BUSINVx,ordinary_stable,5,5,198,0,0,610,708.5,0.9958333333,0.9971530235,0.005736210618,0.005927787588,609,0,0,0,0,0,0,0,0,False,pass,,,17,27,32
BUSLOANS,ordinary_stable,6,6,198,0,0,610,708.5,0.9967320261,0.9971850795,0.006271168416,0.006513328584,609,0,0,0,0,0,0,0,0,False,pass,,,17,69,34
CE16OV,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.00301095427,0.003153450395,610,0,0,0,0,0,0,0,0,False,pass,,,43,54,18
CES0600000007,ordinary_stable,1,1,198,0,0,612,710.5,0.9985228951,1,0.5585498261,0.6339100165,31,0,0,0,0,0,0,0,0,False,pass,,,98,103,102
CES0600000008,ordinary_stable,6,6,198,0,0,610,708.5,0.9962546816,0.9971771334,0.003898513707,0.004013376883,598,0,0,0,0,0,0,0,0,False,pass,,,17,37,21
CES1021000001,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.01783163269,0.01834417577,607,0,0,0,0,0,0,0,0,False,pass,,,43,75,58
CES2000000008,ordinary_stable,6,6,198,0,0,610,708.5,0.9962546816,0.9971771334,0.008768875325,0.009088718761,608,0,0,0,0,0,0,0,0,False,pass,,,17,37,43
CES3000000008,ordinary_stable,6,6,198,0,0,610,708.5,0.9962546816,0.9971771334,0.004696016938,0.004786309464,595,0,0,0,0,0,0,0,0,False,pass,,,17,37,26
CLAIMSx,ordinary_stable,5,5,198,0,0,611,709.5,0.9983660131,0.9985925398,0.04933966399,0.05041566021,573,0,0,0,0,0,0,0,0,False,pass,,,43,89,70
CLF16OV,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.002678284582,0.002750090098,611,0,0,0,0,0,0,0,0,False,pass,,,43,54,11
CMRMTSPLx,reviewed_stable_keep,5,5,198,0,0,315,708.5,0.4639175258,0.9971243695,0.01096992951,0.01153293561,315,0,0,0,0,0,0,0,0,False,pass,,,1,1,50
COMPAPFFx,ordinary_stable,1,1,198,0,0,612,710.5,0.9986413043,1,0.4221863649,0.4424488172,191,0,0,0,0,0,0,0,0,False,pass,,,98,104,98
CONSPI,ordinary_stable,2,2,198,0,0,610,708.5,0.9958391123,0.9971691422,0.0009426678643,0.001038190367,610,0,0,0,0,0,0,0,0,False,pass,,,17,31,1
CP3Mx,ordinary_stable,2,2,198,0,0,611,709.5,0.9959294437,0.9984289071,0.4734628043,0.5006323975,280,0,0,0,0,0,0,0,0,False,pass,,,43,36,99
CPIAPPSL,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.005046311612,0.005283237165,583,0,0,0,0,0,0,0,0,False,pass,,,17,13,27
CPIAUCSL,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.002671285321,0.002721355828,605,0,0,0,0,0,0,0,0,False,pass,,,17,13,10
CPIMEDSL,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.002734618211,0.002755060125,601,0,0,0,0,0,0,0,0,False,pass,,,17,13,12
CPITRNSL,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.01043095201,0.01105418533,571,0,0,0,0,0,0,0,0,False,pass,,,17,13,47
CPIULFSL,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.002913321164,0.002970718315,574,0,0,0,0,0,0,0,0,False,pass,,,17,13,14
CUMFNS,ordinary_stable,2,2,198,0,0,611,709.5,0.9962593516,0.9985885667,0.6848125083,0.7208620725,608,0,0,0,0,0,0,0,0,False,pass,,,43,40,104
CUSR0000SA0L5,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.002926835731,0.002980427141,573,0,0,0,0,0,0,0,0,False,pass,,,17,13,15
CUSR0000SAC,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.00515846383,0.005312865575,559,0,0,0,0,0,0,0,0,False,pass,,,17,13,28
CUSR0000SAS,ordinary_stable,6,6,198,0,0,610,708.5,0.9937810945,0.9971530235,0.002491080399,0.00258594357,597,0,0,0,0,0,0,0,0,False,pass,,,17,13,9
DDURRG3M086SBEA,ordinary_stable,6,6,198,0,0,609,708.5,0.9944521498,0.9971202289,0.003036656239,0.003108281005,609,0,0,0,0,0,0,0,0,False,pass,,,12,21,19
DMANEMP,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.006318517925,0.006749878504,604,0,0,0,0,0,0,0,0,False,pass,,,43,75,35
DNDGRG3M086SBEA,ordinary_stable,6,6,198,0,0,609,708.5,0.9944521498,0.9971202289,0.005921493409,0.006056957022,609,0,0,0,0,0,0,0,0,False,pass,,,12,21,33
