RPI: Frequency = Monthly, Seasonality = Billions of Chained 2017 Dollars, Seasonally Adjusted Annual Rate
W875RX1: Frequency = Monthly, Seasonality = Billions of Chained 2017 Dollars, Seasonally Adjusted Annual Rate
DPCERA3M086SBEA: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
INDPRO: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPFPNSS: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPFINAL: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPCONGD: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPDCONGD: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPNCONGD: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPBUSEQ: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPMAT: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPDMAT: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPNMAT: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPMANSICS: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPB51222S: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
IPFUELS: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
CUMFNS: Frequency = Monthly, Seasonality = Percent, Seasonally Adjusted
CLF16OV: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
CE16OV: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
UNRATE: Frequency = Monthly, Seasonality = Percent, Seasonally Adjusted
UEMPMEAN: Frequency = Monthly, Seasonality = Weeks, Seasonally Adjusted
UEMPLT5: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
UEMP5TO14: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
UEMP15OV: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
UEMP15T26: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
UEMP27OV: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
PAYEMS: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USGOOD: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
CES1021000001: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USCONS: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
MANEMP: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
DMANEMP: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
NDMANEMP: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
SRVPRD: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USTPU: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USWTRADE: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USTRADE: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USFIRE: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
USGOVT: Frequency = Monthly, Seasonality = Thousands of Persons, Seasonally Adjusted
CES0600000007: Frequency = Monthly, Seasonality = Hours, Seasonally Adjusted
AWOTMAN: Frequency = Monthly, Seasonality = Hours, Seasonally Adjusted
AWHMAN: Frequency = Monthly, Seasonality = Hours, Seasonally Adjusted
HOUST: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
HOUSTNE: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
HOUSTMW: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
HOUSTS: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
HOUSTW: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
PERMIT: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
PERMITNE: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
PERMITMW: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
PERMITS: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
PERMITW: Frequency = Monthly, Seasonality = Thousands of Units, Seasonally Adjusted Annual Rate
ACOGNO: Frequency = Monthly, Seasonality = Millions of Dollars, Seasonally Adjusted
