,n_rows,n_missing,pct_missing,miss_first,miss_second,miss_both_first_two,miss_any_first_two,miss_intermediate,n_missing_intermediate,miss_last
AAA,784,0,0,False,False,False,False,False,0,False
AAAFFM,784,0,0,False,False,False,False,False,0,False
AMDMNOx,784,0,0,False,False,False,False,False,0,False
AMDMUOx,784,0,0,False,False,False,False,False,0,False
AWHMAN,784,0,0,False,False,False,False,False,0,False
AWOTMAN,784,0,0,False,False,False,False,False,0,False
BAA,784,0,0,False,False,False,False,False,0,False
BAAFFM,784,0,0,False,False,False,False,False,0,False
BOGMBASE,784,0,0,False,False,False,False,False,0,False
BUSINVx,784,1,0.1275510204,False,False,False,False,False,0,True
BUSLOANS,784,0,0,False,False,False,False,False,0,False
CE16OV,784,0,0,False,False,False,False,False,0,False
CES0600000007,784,0,0,False,False,False,False,False,0,False
CES0600000008,784,0,0,False,False,False,False,False,0,False
CES1021000001,784,0,0,False,False,False,False,False,0,False
CES2000000008,784,0,0,False,False,False,False,False,0,False
CES3000000008,784,0,0,False,False,False,False,False,0,False
CLAIMSx,784,0,0,False,False,False,False,False,0,False
CLF16OV,784,0,0,False,False,False,False,False,0,False
CMRMTSPLx,784,1,0.1275510204,False,False,False,False,False,0,True
COMPAPFFx,784,1,0.1275510204,False,False,False,False,True,1,False
CONSPI,784,1,0.1275510204,False,False,False,False,False,0,True
CP3Mx,784,2,0.2551020408,False,False,False,False,True,2,False
CPIAPPSL,784,0,0,False,False,False,False,False,0,False
CPIAUCSL,784,0,0,False,False,False,False,False,0,False
CPIMEDSL,784,0,0,False,False,False,False,False,0,False
CPITRNSL,784,0,0,False,False,False,False,False,0,False
CPIULFSL,784,0,0,False,False,False,False,False,0,False
CUMFNS,784,0,0,False,False,False,False,False,0,False
CUSR0000SA0L2,784,0,0,False,False,False,False,False,0,False
CUSR0000SA0L5,784,0,0,False,False,False,False,False,0,False
CUSR0000SAC,784,0,0,False,False,False,False,False,0,False
CUSR0000SAD,784,0,0,False,False,False,False,False,0,False
CUSR0000SAS,784,0,0,False,False,False,False,False,0,False
DDURRG3M086SBEA,784,0,0,False,False,False,False,False,0,False
DMANEMP,784,0,0,False,False,False,False,False,0,False
DNDGRG3M086SBEA,784,0,0,False,False,False,False,False,0,False
DPCERA3M086SBEA,784,0,0,False,False,False,False,False,0,False
DSERRG3M086SBEA,784,0,0,False,False,False,False,False,0,False
DTCOLNVHFNM,784,1,0.1275510204,False,False,False,False,False,0,True
DTCTHFNM,784,1,0.1275510204,False,False,False,False,False,0,True
EXCAUSx,784,0,0,False,False,False,False,False,0,False
EXJPUSx,784,0,0,False,False,False,False,False,0,False
EXSZUSx,784,0,0,False,False,False,False,False,0,False
EXUSUKx,784,0,0,False,False,False,False,False,0,False
FEDFUNDS,784,0,0,False,False,False,False,False,0,False
GS1,784,0,0,False,False,False,False,False,0,False
GS10,784,0,0,False,False,False,False,False,0,False
GS5,784,0,0,False,False,False,False,False,0,False
HOUST,784,0,0,False,False,False,False,False,0,False
HOUSTMW,784,0,0,False,False,False,False,False,0,False
HOUSTNE,784,0,0,False,False,False,False,False,0,False
HOUSTS,784,0,0,False,False,False,False,False,0,False
